Nome,Tipo,Tamanho,Tendência,PV_médio,PV_dados,CA,Deslocamento,Força,mod_força,Destreza,mod_destreza,Constituição,mod_constituição,Inteligência,mod_inteligência,Sabedoria,mod_sabedoria,Carisma,mod_carisma,Infos,Nível_desafio,XP,Ações,Dano_médio
TRICERÁTOPS,Besta,Enorme,imparcial Classe de Armadura 13,95,10d12 + 30,13,15 m,22,+6,9,1,17,+3,2,4,11,+0,5,3,Sentidos Percepção passiva 10 Idiomas ,5,1.800," Chifres. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 1,5 m, um alvo. Acerto: 24 (4d8 + 6) de dano perfurante.  Pisotear. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 1,5 m, uma criatura caída. Acerto: 22 (3d10 + 6) de dano de concussão.",24
DRACOLICH,Morto-vivo,Enorme,leal e mau  Classe de Armadura 19,225,18d12 + 108,19,12 m,25,+7,10,+0,23,+6,16,+3,15,+2,19,+4," Testes de Resistência Des +5, Con +11, Sab +7, Car +9 Perícias Furtividade +5, Percepção +12 Resistência a Dano necrótico Imunidade a Dano elétrico, veneno Imunidade a Condição amedrontado, enfeitiçado, envenenado, paralisado Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 22 Idiomas Comum, Dracônico",17,18.000,"  Ataques Múltiplos. O dracolich pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 3 m, um alvo. Acerto: 18 (2d10 + 7) de dano perfurante mais 5 (1d10) de dano elétrico.  Garra. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 1,5 m, um alvo. Acerto: 14 (2d6 + 7) de dano cortante.",23
DRAGÃO DAS SOMBRAS,Dragão,Grande,caótico e mau Classe de Armadura 18,178,17d10 + 85,18,12 m,23,+6,10,+0,21,+5,14,+2,11,+0,19,+4,"Testes de Resistência Des +4, Con +9, Sab +4, Car +8 Perícias Furtividade +8, Percepção +8 Resistência a Dano necrótico Imunidade a Dano fogo Sentidos percepção às cegas 9 m, visão no escuro 36 m, Percepção passiva 13 Idiomas Comum, Dracônico",13,10.000," Ataques Múltiplos. O dragão realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +10 para atingir, alcance 3 m, um alvo. Acerto: 17 (2d10 + 6) de dano perfurante mais 3 (1d6) de dano necrótico.  Garra. Ataque Corpo-a-Corpo com Arma: +10 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d6 + 6) de dano cortante.",20
DRAGÃO AZUL ANCIÃO,Dragão,Imenso,leal e mau  Classe de Armadura 22,481,26d20 + 208,22,12 m,29,+9,10,+0,27,+8,18,+4,17,+3,21,+5," Testes de Resistência Des +7, Con +15, Sab +10, Car +12 Perícias Furtividade +7, Percepção +17 Imunidade a Dano elétrico Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 27 Idiomas Comum, Dracônico",23,50.000,"  O dragão pode realizar 3 ações lendárias, escolhidas dentre as opções abaixo. Apenas uma ação lendária pode ser usada por vez e apenas no final do turno de outra criatura. O dragão recupera as ações lendárias gastas no começo do turno dele.  Detectar. O dragão realiza um teste de Sabedoria (Percepção). Ataque com Cauda. O dragão realiza um ataque de cauda. Ataque com Asas (Custa 2 Ações). O dragão bate suas asas. Cada criatura a até 4,5 metros do dragão deve ser bem sucedida num teste de resistência de Destreza CD 24 ou sofrerá 16 (2d6 + 9) de dano de concussão e cairá no chão.",31
DRAGÃO AZUL ADULTO,Dragão,Enorme,leal e mau Classe de Armadura 19,225,18d12 + 108,19,12 m,25,+7,10,+0,23,+6,16,+3,15,+2,19,+4,"Testes de Resistência Des +5, Con +11, Sab +7, Car +9 Perícias Furtividade +5, Percepção +12 Imunidade a Dano elétrico Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 22 Idiomas Comum, Dracônico Nível de Desafio 16 (15.000 XP) Resistência Lendária (3/Dia). Se o dragão falhar em um teste de resistência, ele pode escolher obter sucesso, no lugar. AÇÕES Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 3 m, um alvo. Acerto: 18 (2d10 + 7) de dano perfurante mais 5 (1d10) de dano elétrico.  Garra. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 1,5 m, um alvo. Acerto: 14 (2d6 + 7) de dano cortante.  Cauda. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 4,5 m, um alvo. Acerto: 16 (2d8 + 7) de dano de concussão.  Presença Aterradora. Cada criatura, à escolha do dragão, que esteja a até 36 metros do dragão e esteja ciente disso, deve ser bem sucedida num teste de resistência de Sabedoria CD 17 ou ficará amedrontada por 1 minuto. Uma criatura pode repetir o teste de resistência no final de cada um dos turnos dela, terminando o efeito sobre si, caso obtenha sucesso. Se o teste de resistência de uma criatura for bem sucedido ou caso o efeito termine sobre ela, a criatura ficará imune a Presença Aterradora do dragão pelas próximas 24 horas.  Sopro Elétrico (Recarrega 56). O dragão pode expelir eletricidade em uma linha com 27 metros de comprimento e 1,5 metro de largura. Cada criatura na linha deve ser bem sucedida num teste de resistência de Destreza CD 19, sofrendo 66 (12d10) de dano elétrico se falhar na resistência, ou metade desse dano caso obtenha sucesso.  AÇÕES LENDÁRIAS O dragão pode realizar 3 ações lendárias, escolhidas dentre as opções abaixo. Apenas uma ação lendária pode ser usada por vez e apenas no final do turno de outra criatura. O dragão recupera as ações lendárias gastas no começo do turno dele.  Detectar. O dragão realiza um teste de Sabedoria (Percepção). Ataque com Cauda. O dragão realiza um ataque de cauda. Ataque com Asas (Custa 2 Ações). O dragão bate suas asas. Cada criatura a até 3 metros do dragão deve ser bem sucedida num teste de resistência de Destreza CD 20 ou sofrerá 14 (2d6 + 7) de dano de concussão e cairá no chão. Após bater suas asas, o dragão pode voar até metade do seu deslocamento de voo.   DRAGÃO AZUL JOVEM Dragão Grande, leal e mau Classe de Armadura 18 (armadura natural) Pontos de Vida 152 (16d10 + 64) Deslocamento 12 m, escavação 9 m, voo 24 m FOR 21 (+5) DES 10 (+0) CON 19 (+4) INT 14 (+2) SAB 13 (+1) CAR 17 (+3) Testes de Resistência Des +4, Con +8, Sab +5, Car +7 Perícias Furtividade +4, Percepção +9 Imunidade a Dano elétrico Sentidos percepção às cegas 9 m, visão no escuro 36 m, Percepção passiva 19 Idiomas Comum, Dracônico Nível de Desafio 9 (5.000 XP) AÇÕES Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 3 m, um alvo. Acerto: 16 (2d10 + 5) de dano perfurante mais 5 (1d10) de dano elétrico.  Garra. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 1,5 m, um alvo. Acerto: 12 (2d6 + 5) de dano cortante.  Sopro Elétrico (Recarrega 56). O dragão pode expelir eletricidade em uma linha com 18 metros de comprimento e 1,5 metro de largura. Cada criatura na linha deve ser bem sucedida num teste de resistência de Destreza CD 16, sofrendo 55 (10d10) de dano elétrico se falhar na resistência, ou metade desse dano caso obtenha sucesso.  DRAGÃO AZUL FILHOTE Dragão Médio, leal e mau Classe de Armadura 17 (armadura natural) Pontos de Vida 52 (8d8 + 16) Deslocamento 9 m, escavação 4,5 m, voo 18 m FOR 17 (+3) DES 10 (+0) CON 15 (+2) INT 12 (+1) SAB 11 (+0) CAR 15 (+2) Testes de Resistência Des +2, Con +4, Sab +2, Car +4 Perícias Furtividade +4, Percepção +2 Imunidade a Dano elétrico Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",16,15.000," Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 3 m, um alvo. Acerto: 18 (2d10 + 7) de dano perfurante mais 5 (1d10) de dano elétrico.  Garra. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 1,5 m, um alvo. Acerto: 14 (2d6 + 7) de dano cortante.  Cauda. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 4,5 m, um alvo. Acerto: 16 (2d8 + 7) de dano de concussão.",21
DRAGÃO AZUL FILHOTE,Dragão,Médio,leal e mau Classe de Armadura 17,52,8d8 + 16,17,9 m,17,+3,10,+0,15,+2,12,+1,11,+0,15,+2,"Testes de Resistência Des +2, Con +4, Sab +2, Car +4 Perícias Furtividade +4, Percepção +2 Imunidade a Dano elétrico Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",3,700," Mordida. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 8 (1d10 + 3) de dano perfurante mais 3 (1d6) de dano elétrico.  Sopro Elétrico (Recarrega 56). O dragão pode expelir eletricidade em uma linha com 9 metros de comprimento e 1,5 metro de largura. Cada criatura na linha deve ser bem sucedida num teste de resistência de Destreza CD 12, sofrendo 22 (4d10) de dano elétrico se falhar na resistência, ou metade desse dano caso obtenha sucesso.",11
DRAGÃO AZUL JOVEM,Dragão,Grande,leal e mau Classe de Armadura 18,152,16d10 + 64,18,12 m,21,+5,10,+0,19,+4,14,+2,13,+1,17,+3,"Testes de Resistência Des +4, Con +8, Sab +5, Car +7 Perícias Furtividade +4, Percepção +9 Imunidade a Dano elétrico Sentidos percepção às cegas 9 m, visão no escuro 36 m, Percepção passiva 19 Idiomas Comum, Dracônico Nível de Desafio 9 (5.000 XP) AÇÕES Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 3 m, um alvo. Acerto: 16 (2d10 + 5) de dano perfurante mais 5 (1d10) de dano elétrico.  Garra. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 1,5 m, um alvo. Acerto: 12 (2d6 + 5) de dano cortante.  Sopro Elétrico (Recarrega 56). O dragão pode expelir eletricidade em uma linha com 18 metros de comprimento e 1,5 metro de largura. Cada criatura na linha deve ser bem sucedida num teste de resistência de Destreza CD 16, sofrendo 55 (10d10) de dano elétrico se falhar na resistência, ou metade desse dano caso obtenha sucesso.  DRAGÃO AZUL FILHOTE Dragão Médio, leal e mau Classe de Armadura 17 (armadura natural) Pontos de Vida 52 (8d8 + 16) Deslocamento 9 m, escavação 4,5 m, voo 18 m FOR 17 (+3) DES 10 (+0) CON 15 (+2) INT 12 (+1) SAB 11 (+0) CAR 15 (+2) Testes de Resistência Des +2, Con +4, Sab +2, Car +4 Perícias Furtividade +4, Percepção +2 Imunidade a Dano elétrico Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",9,5.000," Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 3 m, um alvo. Acerto: 16 (2d10 + 5) de dano perfurante mais 5 (1d10) de dano elétrico.  Garra. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 1,5 m, um alvo. Acerto: 12 (2d6 + 5) de dano cortante.",19
DRAGÃO BRANCO ANCIÃO,Dragão,Imenso,caótico e mau  Classe de Armadura 20,333,18d20 + 144,20,12 m,26,+8,10,+0,26,+8,10,+0,13,+1,14,+2," Testes de Resistência Des +6, Con +14, Sab +7, Car +8 Perícias Furtividade +6, Percepção +13 Imunidade a Dano frio Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 23 Idiomas Comum, Dracônico",20,25.000,"  Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +14 para atingir, alcance 4,5 m, um alvo. Acerto: 19 (2d10 + 8) de dano perfurante mais 9 (2d8) de dano de frio.",26
DRAGÃO BRANCO ADULTO,Dragão,Enorme,caótico e mau Classe de Armadura 18,200,16d12 + 96,18,12 m,22,+6,10,+0,22,+6,8,1,12,+1,12,+1,"Testes de Resistência Des +5, Con +11, Sab +6, Car +6 Perícias Furtividade +5, Percepção +11 Imunidade a Dano frio Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 21 Idiomas Comum, Dracônico Nível de Desafio 13 (10.000 XP) Andar no Gelo. O dragão pode se mover e escalar superfícies congeladas sem precisar realizar um teste de habilidade. Além disso, terreno difícil composto por gelo ou neve não custa movimento extra para ele.  Resistência Lendária (3/Dia). Se o dragão falhar em um teste de resistência, ele pode escolher obter sucesso, no lugar. AÇÕES Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 3 m, um alvo. Acerto: 17 (2d10 + 6) de dano perfurante mais 4 (1d8) de dano de frio.  Garra. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d6 + 6) de dano cortante.  Cauda. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 4,5 m, um alvo. Acerto: 15 (2d8 + 6) de dano de concussão.  Presença Aterradora. Cada criatura, à escolha do dragão, que esteja a até 36 metros do dragão e esteja ciente disso, deve ser bem sucedida num teste de resistência de Sabedoria CD 14 ou ficará amedrontada por 1 minuto. Uma criatura pode repetir o teste de resistência no final de cada um dos turnos dela, terminando o efeito sobre si, caso obtenha sucesso. Se o teste de resistência de uma criatura for bem sucedido ou caso o efeito termine sobre ela, a criatura ficará imune a Presença Aterradora do dragão pelas próximas 24 horas.  Sopro Congelante (Recarrega 56). O dragão pode expelir uma explosão gélida num cone de 18 metros. Cada criatura na área deve realiza um teste de resistência de Constituição CD 19, sofrendo 54 (12d8) de dano de frio se falhar na resistência, ou metade desse dano caso obtenha sucesso.  AÇÕES LENDÁRIAS O dragão pode realizar 3 ações lendárias, escolhidas dentre as opções abaixo. Apenas uma ação lendária pode ser usada por vez e apenas no final do turno de outra criatura. O dragão recupera as ações lendárias gastas no começo do turno dele.  Detectar. O dragão realiza um teste de Sabedoria (Percepção). Ataque com Cauda. O dragão realiza um ataque de cauda. Ataque com Asas (Custa 2 Ações). O dragão bate suas asas. Cada criatura a até 3 metros do dragão deve ser bem sucedida num teste de resistência de Destreza CD 19 ou sofrerá 13 (2d6 + 6) de dano de concussão e cairá no chão. Após bater suas asas, o dragão pode voar até metade do seu deslocamento de voo.  DRAGÃO BRANCO JOVEM Dragão Grande, caótico e mau Classe de Armadura 17 (armadura natural) Pontos de Vida 133 (14d10 + 56) Deslocamento 12 m, escavação 9 m, natação 12 m, voo 24 m FOR 18 (+4) DES 10 (+0) CON 18 (+4) INT 6 (2) SAB 11 (+0) CAR 12 (+1) Testes de Resistência Des +3, Con +7, Sab +3, Car +4 Perícias Furtividade +3, Percepção +6 Imunidade a Dano frio Sentidos percepção às cegas 9 m, visão no escuro 36 m, Percepção passiva 16 Idiomas Comum, Dracônico Nível de Desafio 6 (2.300 XP) Andar no Gelo. O dragão pode se mover e escalar superfícies congeladas sem precisar realizar um teste de habilidade. Além disso, terreno difícil composto por gelo ou neve não custa movimento extra para ele. AÇÕES Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 3 m, um alvo. Acerto: 15 (2d10 + 4) de dano perfurante mais 4 (1d8) de dano de frio.  Garra. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d6 + 4) de dano cortante.  Sopro Congelante (Recarrega 56). O dragão pode expelir uma explosão gélida num cone de 9 metros. Cada criatura na área deve realiza um teste de resistência de Constituição CD 15, sofrendo 45 (10d8) de dano de frio se falhar na resistência, ou metade desse dano caso obtenha sucesso.  DRAGÃO BRANCO FILHOTE Dragão Médio, caótico e mau Classe de Armadura 16 (armadura natural) Pontos de Vida 32 (5d8 + 10) Deslocamento 9 m, escavação 4,5 m, natação 9 m, voo 18 m FOR 14 (+2) DES 10 (+0) CON 14 (+2) INT 5 (3) SAB 10 (+0) CAR 11 (+0) Testes de Resistência Des +2, Con +4, Sab +2, Car +2 Perícias Furtividade +4, Percepção +2 Imunidade a Dano frio Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",13,10.000," Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 3 m, um alvo. Acerto: 17 (2d10 + 6) de dano perfurante mais 4 (1d8) de dano de frio.  Garra. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d6 + 6) de dano cortante.  Cauda. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 4,5 m, um alvo. Acerto: 15 (2d8 + 6) de dano de concussão.",19
DRAGÃO BRANCO FILHOTE,Dragão,Médio,caótico e mau Classe de Armadura 16,32,5d8 + 10,16,9 m,14,+2,10,+0,14,+2,5,3,10,+0,11,+0,"Testes de Resistência Des +2, Con +4, Sab +2, Car +2 Perícias Furtividade +4, Percepção +2 Imunidade a Dano frio Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",2,450," Mordida. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d10 + 2) de dano perfurante mais 2 (1d4) de dano de frio.  Sopro Congelante (Recarrega 56). O dragão pode expelir uma explosão gélida num cone de 4,5 metros. Cada criatura na área deve realiza um teste de resistência de Constituição CD 12, sofrendo 22 (5d8) de dano de frio se falhar na resistência, ou metade desse dano caso obtenha sucesso.",9
DRAGÃO BRANCO JOVEM,Dragão,Grande,caótico e mau Classe de Armadura 17,133,14d10 + 56,17,12 m,18,+4,10,+0,18,+4,6,2,11,+0,12,+1,"Testes de Resistência Des +3, Con +7, Sab +3, Car +4 Perícias Furtividade +3, Percepção +6 Imunidade a Dano frio Sentidos percepção às cegas 9 m, visão no escuro 36 m, Percepção passiva 16 Idiomas Comum, Dracônico Nível de Desafio 6 (2.300 XP) Andar no Gelo. O dragão pode se mover e escalar superfícies congeladas sem precisar realizar um teste de habilidade. Além disso, terreno difícil composto por gelo ou neve não custa movimento extra para ele. AÇÕES Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 3 m, um alvo. Acerto: 15 (2d10 + 4) de dano perfurante mais 4 (1d8) de dano de frio.  Garra. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d6 + 4) de dano cortante.  Sopro Congelante (Recarrega 56). O dragão pode expelir uma explosão gélida num cone de 9 metros. Cada criatura na área deve realiza um teste de resistência de Constituição CD 15, sofrendo 45 (10d8) de dano de frio se falhar na resistência, ou metade desse dano caso obtenha sucesso.  DRAGÃO BRANCO FILHOTE Dragão Médio, caótico e mau Classe de Armadura 16 (armadura natural) Pontos de Vida 32 (5d8 + 10) Deslocamento 9 m, escavação 4,5 m, natação 9 m, voo 18 m FOR 14 (+2) DES 10 (+0) CON 14 (+2) INT 5 (3) SAB 10 (+0) CAR 11 (+0) Testes de Resistência Des +2, Con +4, Sab +2, Car +2 Perícias Furtividade +4, Percepção +2 Imunidade a Dano frio Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",6,2.300," Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 3 m, um alvo. Acerto: 15 (2d10 + 4) de dano perfurante mais 4 (1d8) de dano de frio.  Garra. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d6 + 4) de dano cortante.",17
DRAGÃO NEGRO ANCIÃO,Dragão,Imenso,caótico e mau Classe de Armadura 22,367,21d20 + 147,22,12 m,27,+8,14,+2,25,+7,16,+3,15,+2,19,+4,"Testes de Resistência Des +9, Con +14, Sab +9, Car +11 Perícias Furtividade +9, Percepção +16 Imunidade a Dano ácido Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 26 Idiomas Comum, Dracônico",21,33.000," Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +15 para atingir, alcance 4,5 m, um alvo. Acerto: 19 (2d10 + 8) de dano perfurante mais 9 (2d8) de dano de ácido.  Garra. Ataque Corpo-a-Corpo com Arma: +15 para atingir, alcance 3 m, um alvo. Acerto: 15 (2d6 + 8) de dano cortante.  Cauda. Ataque Corpo-a-Corpo com Arma: +15 para atingir, alcance 6 m, um alvo. Acerto: 17 (2d8 + 8) de dano de concussão.",28
DRAGÃO NEGRO ADULTO,Dragão,Enorme,caótico e mau  Classe de Armadura 19,195,17d12 + 85,19,12 m,23,+6,14,+2,21,+5,14,+2,13,+1,17,+3," Testes de Resistência Des +7, Con +10, Sab +6, Car +8 Perícias Furtividade +7, Percepção +11 Imunidade a Dano ácido Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 21 Idiomas Comum, Dracônico",14,11.500,"  Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 3 m, um alvo. Acerto: 17 (2d10 + 6) de dano perfurante mais 4 (1d8) de dano de ácido.  Garra. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d6 + 6) de dano cortante.",21
DRAGÃO NEGRO FILHOTE,Dragão,Médio,caótico e mau Classe de Armadura 17,33,6d8 + 6,17,9 m,15,+2,14,+2,13,+1,10,+0,11,+0,13,+1,"Testes de Resistência Des +4, Con +3, Sab +2, Car +3 Perícias Furtividade +4, Percepção +4 Imunidade a Dano ácido Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",2,450," Mordida. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d10 + 2) de dano perfurante mais 2 (1d4) de dano de ácido.  Sopro Ácido (Recarrega 56). O dragão pode expelir ácido em uma linha com 4,5 metros de comprimento e 1,5 metro de largura. Cada criatura na linha deve realizar um teste de resistência de Destreza CD 11, sofrendo 22 (5d8) de dano de ácido se falhar na resistência, ou metade desse dano caso obtenha sucesso.",9
DRAGÃO NEGRO JOVEM,Dragão,Grande,caótico e mau Classe de Armadura 18,127,15d10 + 45,18,12 m,19,+4,14,+2,17,+3,12,+1,11,+0,15,+2,"Testes de Resistência Des +5, Con +6, Sab +3, Car +5 Perícias Furtividade +5, Percepção +6 Imunidade a Dano ácido Sentidos percepção às cegas 9 m, visão no escuro 36 m, Percepção passiva 16 Idiomas Comum, Dracônico Nível de Desafio 7 (2.900 XP) Anfíbio. O dragão pode respirar ar e água.  AÇÕES Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 3 m, um alvo. Acerto: 15 (2d10 + 4) de dano perfurante mais 4 (1d8) de dano de ácido.  Garra. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d6 + 4) de dano cortante.  Sopro Ácido (Recarrega 56). O dragão pode expelir ácido em uma linha com 9 metros de comprimento e 1,5 metro de largura. Cada criatura na linha deve realizar um teste de resistência de Destreza CD 14, sofrendo 49 (11d8) de dano de ácido se falhar na resistência, ou metade desse dano caso obtenha sucesso.  DRAGÃO NEGRO FILHOTE Dragão Médio, caótico e mau Classe de Armadura 17 (armadura natural) Pontos de Vida 33 (6d8 + 6) Deslocamento 9 m, natação 9 m, voo 18 m FOR 15 (+2) DES 14 (+2) CON 13 (+1) INT 10 (+0) SAB 11 (+0) CAR 13 (+1) Testes de Resistência Des +4, Con +3, Sab +2, Car +3 Perícias Furtividade +4, Percepção +4 Imunidade a Dano ácido Sentidos percepção às cegas 3 m, visão no escuro 18 m, Percepção passiva 14 Idiomas Dracônico",7,2.900," Ataques Múltiplos. O dragão realiza três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 3 m, um alvo. Acerto: 15 (2d10 + 4) de dano perfurante mais 4 (1d8) de dano de ácido.  Garra. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d6 + 4) de dano cortante.",17
DRAGÃO VERDE ANCIÃO,Dragão,Imenso,leal e mau Classe de Armadura 21,385,22d20 + 154,21,12 m,27,+8,12,+1,25,+7,20,+5,17,+3,19,+4,"Testes de Resistência Des +8, Con +14, Sab +10, Car +11 Perícias Enganação +11, Furtividade +8, Intuição +10,       Percepção +17, Persuasão +11 Imunidade a Dano veneno Imunidade a Condição envenenado Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 27 Idiomas Comum, Dracônico",22,41.000," Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +15 para atingir, alcance 4,5 m, um alvo. Acerto: 19 (2d10 + 8) de dano perfurante mais 10 (3d6) de dano de veneno.  Garra. Ataque Corpo-a-Corpo com Arma: +15 para atingir, alcance 3 m, um alvo. Acerto: 15 (2d6 + 8) de dano cortante.  Cauda. Ataque Corpo-a-Corpo com Arma: +15 para atingir, alcance 6 m, um alvo. Acerto: 17 (2d8 + 8) de dano de concussão.",29
DRAGÃO VERDE ADULTO,Dragão,Enorme,leal e mau  Classe de Armadura 19,207,18d12 + 90,19,12 m,23,+6,12,+1,21,+5,18,+4,15,+2,17,+3," Testes de Resistência Des +6, Con +10, Sab +7, Car +8 Perícias Enganação +8, Furtividade +6, Intuição +7,          Percepção +12, Persuasão +8 Imunidade a Dano veneno Imunidade a Condição envenenado Sentidos percepção às cegas 18 m, visão no escuro 36 m, Percepção passiva 21 Idiomas Comum, Dracônico",15,13.000,"  Ataques Múltiplos. O dragão pode usar sua Presença Aterradora, ele pode então, realizar três ataques: um com sua mordida e dois com suas garras.  Mordida. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 3 m, um alvo. Acerto: 17 (2d10 + 6) de dano perfurante mais 7 (2d6) de dano de veneno.  Garra. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d6 + 6) de dano cortante.",24
